setl_code,Muni_Eng,Muni_Heb,AreaSQM,total_bantal_bldg,total_osm_bldg,n_missing_bldg,n_new_bldg,total_bantal_addr,n_full_match,n_missing_bantal_addr,n_missing_osm_addr,n_spatial_mismatch,osm_coverage_pct,delta_score
5536.0,Hof Ashkelon,חוף אשקלון,1231746.36242,990,601,316,3,0,0,735,0,0,60.7,0.097
6900.0,Kefar Saba,כפר סבא,14854063.8124,8958,5622,3074,46,7578,342,92,6314,83,62.8,0.127
7800.0,Pardes Hana - Karkur,פרדס חנה - כרכור,22842815.0137,11444,6551,4614,54,6048,922,201,4084,68,57.2,0.1364
1200.0,Modi'in - Makabim - Re'ut,מודיעין - מכבים - רעות,48329485.7781,8699,5387,2661,20,9003,423,74,8162,111,61.9,0.1151
5532.0,Gderot,גדרות,564596.836498,562,361,203,4,0,0,327,0,0,64.2,0.1112
246.0,Netivot,נתיבות,12764364.7264,5460,3302,1865,63,4656,242,107,4088,59,60.5,0.1313
6700.0,Tverya (Tiberias),טבריה,16194608.8538,6583,4102,2402,205,4245,241,410,3600,207,62.3,0.1874
7000.0,Lod,לוד,14785792.6196,7131,4232,2619,66,3931,908,161,2075,265,59.3,0.1447
4000.0,Haifa,חיפה,83181804.27949998,26500,18021,8098,240,26750,2581,1148,18759,931,68.0,0.1304
8500.0,Ramla,רמלה,13388352.3155,7057,4338,2075,168,4082,229,40,3502,51,61.5,0.1179
2640.0,Rosh Ha'ayin,ראש העין,15864357.94,8802,5448,2683,54,7074,157,23,6679,20,61.9,0.1058
